idx_preset,laga,lagb
pmarkov,0.4618276885871083,1.257805051068695
pmarkov,0.5118276885871083,1.257805051068695
pmarkov,0.5618276885871083,1.257805051068695
pmarkov,0.6118276885871082,1.257805051068695
pmarkov,0.36182768858710823,1.3078050510686952
pmarkov,0.4118276885871083,1.3078050510686952
pmarkov,0.4618276885871083,1.3078050510686952
pmarkov,0.5118276885871083,1.3078050510686952
pmarkov,0.5618276885871083,1.3078050510686952
pmarkov,0.6118276885871082,1.3078050510686952
pmarkov,0.6618276885871083,1.3078050510686952
pmarkov,0.7118276885871083,1.3078050510686952
pmarkov,0.36182768858710823,1.357805051068695
pmarkov,0.4118276885871083,1.357805051068695
pmarkov,0.4618276885871083,1.357805051068695
pmarkov,0.5118276885871083,1.357805051068695
pmarkov,0.5618276885871083,1.357805051068695
pmarkov,0.6118276885871082,1.357805051068695
pmarkov,0.6618276885871083,1.357805051068695
pmarkov,0.7118276885871083,1.357805051068695
pmarkov,0.7618276885871083,1.357805051068695
pmarkov,0.8118276885871083,1.357805051068695
pmarkov,0.3118276885871082,1.4078050510686948
pmarkov,0.36182768858710823,1.4078050510686948
pmarkov,0.4118276885871083,1.4078050510686948
pmarkov,0.4618276885871083,1.4078050510686948
pmarkov,0.5118276885871083,1.4078050510686948
pmarkov,0.5618276885871083,1.4078050510686948
pmarkov,0.6118276885871082,1.4078050510686948
pmarkov,0.6618276885871083,1.4078050510686948
pmarkov,0.7118276885871083,1.4078050510686948
pmarkov,0.7618276885871083,1.4078050510686948
pmarkov,0.8118276885871083,1.4078050510686948
pmarkov,0.8618276885871082,1.4078050510686948
pmarkov,0.9118276885871083,1.4078050510686948
pmarkov,0.26182768858710825,1.457805051068695
pmarkov,0.3118276885871082,1.457805051068695
pmarkov,0.36182768858710823,1.457805051068695
pmarkov,0.4118276885871083,1.457805051068695
pmarkov,0.4618276885871083,1.457805051068695
pmarkov,0.5118276885871083,1.457805051068695
pmarkov,0.5618276885871083,1.457805051068695
pmarkov,0.6118276885871082,1.457805051068695
pmarkov,0.6618276885871083,1.457805051068695
pmarkov,0.7118276885871083,1.457805051068695
pmarkov,0.7618276885871083,1.457805051068695
pmarkov,0.8118276885871083,1.457805051068695
pmarkov,0.8618276885871082,1.457805051068695
pmarkov,0.9118276885871083,1.457805051068695
pmarkov,0.9618276885871083,1.457805051068695
pmarkov,0.26182768858710825,1.507805051068695
pmarkov,0.3118276885871082,1.507805051068695
pmarkov,0.36182768858710823,1.507805051068695
pmarkov,0.4118276885871083,1.507805051068695
pmarkov,0.4618276885871083,1.507805051068695
pmarkov,0.5118276885871083,1.507805051068695
pmarkov,0.5618276885871083,1.507805051068695
pmarkov,0.6118276885871082,1.507805051068695
pmarkov,0.6618276885871083,1.507805051068695
pmarkov,0.7118276885871083,1.507805051068695
pmarkov,0.7618276885871083,1.507805051068695
pmarkov,0.8118276885871083,1.507805051068695
pmarkov,0.8618276885871082,1.507805051068695
pmarkov,0.9118276885871083,1.507805051068695
pmarkov,0.9618276885871083,1.507805051068695
pmarkov,0.21182768858710826,1.5578050510686952
pmarkov,0.26182768858710825,1.5578050510686952
pmarkov,0.3118276885871082,1.5578050510686952
pmarkov,0.36182768858710823,1.5578050510686952
pmarkov,0.4118276885871083,1.5578050510686952
pmarkov,0.4618276885871083,1.5578050510686952
pmarkov,0.5118276885871083,1.5578050510686952
pmarkov,0.5618276885871083,1.5578050510686952
pmarkov,0.6118276885871082,1.5578050510686952
pmarkov,0.6618276885871083,1.5578050510686952
pmarkov,0.7118276885871083,1.5578050510686952
pmarkov,0.7618276885871083,1.5578050510686952
pmarkov,0.8118276885871083,1.5578050510686952
pmarkov,0.8618276885871082,1.5578050510686952
pmarkov,0.9118276885871083,1.5578050510686952
pmarkov,0.9618276885871083,1.5578050510686952
pmarkov,1.0118276885871085,1.5578050510686952
pmarkov,0.21182768858710826,1.607805051068695
pmarkov,0.26182768858710825,1.607805051068695
pmarkov,0.3118276885871082,1.607805051068695
pmarkov,0.36182768858710823,1.607805051068695
pmarkov,0.4118276885871083,1.607805051068695
pmarkov,0.4618276885871083,1.607805051068695
pmarkov,0.5118276885871083,1.607805051068695
pmarkov,0.5618276885871083,1.607805051068695
pmarkov,0.6118276885871082,1.607805051068695
pmarkov,0.6618276885871083,1.607805051068695
pmarkov,0.7118276885871083,1.607805051068695
pmarkov,0.7618276885871083,1.607805051068695
pmarkov,0.8118276885871083,1.607805051068695
pmarkov,0.8618276885871082,1.607805051068695
pmarkov,0.9118276885871083,1.607805051068695
pmarkov,0.9618276885871083,1.607805051068695
pmarkov,1.0118276885871085,1.607805051068695
pmarkov,0.16182768858710828,1.6578050510686948
pmarkov,0.21182768858710826,1.6578050510686948
pmarkov,0.26182768858710825,1.6578050510686948
pmarkov,0.3118276885871082,1.6578050510686948
pmarkov,0.36182768858710823,1.6578050510686948
pmarkov,0.4118276885871083,1.6578050510686948
pmarkov,0.4618276885871083,1.6578050510686948
pmarkov,0.5118276885871083,1.6578050510686948
pmarkov,0.5618276885871083,1.6578050510686948
pmarkov,0.6118276885871082,1.6578050510686948
pmarkov,0.6618276885871083,1.6578050510686948
pmarkov,0.7118276885871083,1.6578050510686948
pmarkov,0.7618276885871083,1.6578050510686948
pmarkov,0.8118276885871083,1.6578050510686948
pmarkov,0.8618276885871082,1.6578050510686948
pmarkov,0.9118276885871083,1.6578050510686948
pmarkov,0.9618276885871083,1.6578050510686948
pmarkov,0.011827688587108247,1.707805051068695
pmarkov,0.061827688587108236,1.707805051068695
pmarkov,0.11182768858710823,1.707805051068695
pmarkov,0.16182768858710828,1.707805051068695
pmarkov,0.21182768858710826,1.707805051068695
pmarkov,0.26182768858710825,1.707805051068695
pmarkov,0.3118276885871082,1.707805051068695
pmarkov,0.36182768858710823,1.707805051068695
pmarkov,0.4118276885871083,1.707805051068695
pmarkov,0.4618276885871083,1.707805051068695
pmarkov,0.5118276885871083,1.707805051068695
pmarkov,0.5618276885871083,1.707805051068695
pmarkov,0.6118276885871082,1.707805051068695
pmarkov,0.6618276885871083,1.707805051068695
pmarkov,0.7118276885871083,1.707805051068695
pmarkov,0.7618276885871083,1.707805051068695
pmarkov,0.8118276885871083,1.707805051068695
pmarkov,0.8618276885871082,1.707805051068695
pmarkov,0.9118276885871083,1.707805051068695
pmarkov,0.9618276885871083,1.707805051068695
pmarkov,0.011827688587108247,1.757805051068695
pmarkov,0.061827688587108236,1.757805051068695
pmarkov,0.11182768858710823,1.757805051068695
pmarkov,0.16182768858710828,1.757805051068695
pmarkov,0.21182768858710826,1.757805051068695
pmarkov,0.26182768858710825,1.757805051068695
